id,qid1,qid2,question1,question2,is_duplicate
0,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0
1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0
3,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0
4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0
5,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,0
6,17,18,When do you use ‹âá instead of ‹Ñ?,"When do you use ""&"" instead of ""and""?",0
7,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0
8,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0
9,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0
10,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0
11,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0
12,43,44,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0
13,45,46,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0
14,47,48,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0
15,49,50,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock‰Ûªs hands overlap?,0
16,51,52,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0
17,53,54,What is web application?,What is the web application framework?,0
18,55,56,Does society place too much importance on sports?,How do sports contribute to the society?,0
19,57,58,What is best way to make money online?,What is best way to ask for money online?,0
20,61,62,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0
21,67,68,"Does the United States government still blacklist (employment, etc.) some United States citizens because their political views?",How is the average speed of gas molecules determined?,0
22,69,70,What is the best travel website in spain?,What is the best travel website?,0
23,71,72,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0
24,73,74,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
25,75,76,"When a girlfriend asks her boyfriend ""Why did you choose me? What makes you want to be with me?"", what should one reply to her?",My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,0
26,79,80,What is the stall speed and AOA of an f-14 with wings fully swept back?,"Why did aircraft stop using variable-sweep wings, like those on an F-14?",0
27,81,82,Why do Slavs squat?,Will squats make my legs thicker?,0
28,83,84,When can I expect my Cognizant confirmation mail?,When can I expect Cognizant confirmation mail?,0
29,85,86,"Can I make 50,000 a month by day trading?","Can I make 30,000 a month by day trading?",0
30,87,88,Is being a good kid and not being a rebel worth it in the long run?,Is being bored good for a kid?,0
31,89,90,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
32,91,92,What is the quickest way to increase Instagram followers?,How can we increase our number of Instagram followers?,0
33,93,94,How did Darth Vader fought Darth Maul in Star Wars Legends?,Does Quora have a character limit for profile descriptions?,0
34,95,96,"What are the stages of breaking up between couple? I mean, what happens after the breaking up emotionally whether its a male or female?","Who is affected more by a breakup, the boy or the girl?",0
35,105,106,Nd she is always sad?,Aerodynamically what happens when propellor rotates?,0
36,109,110,How GST affects the CAs and tax officers?,Why can't I do my homework?,0
37,111,112,How difficult is it get into RSI?,Do you apply for programs like RSI when you're a rising senior?,0
38,113,114,Who is israil friend?,Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,0
39,115,116,What are some good rap songs to dance to?,What are some of the best rap songs?,0
40,119,120,What are the best ways to learn French?,How do I learn french genders?,0
41,121,122,How do I download content from a kickass torrent without registration?,Is Kickass Torrents trustworthy?,0
42,123,124,Is it normal to have a dark ring around the iris of my eye?,What causes a dark ring around the iris? How should it be treated?,0
43,127,128,Why do I always get depressed?,Why do I always get depressed in the evening?,0
44,129,130,Where can I find a European family office database?,Where do I find a U.S. family office database?,0
45,137,138,What is your review of Performance Testing?,What is performance testing?,0
46,139,140,At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,Are there any people who genuinely enjoy salad with no dressing?,0
47,141,142,What are the types of immunity?,What are the different types of immunity in our body?,0
48,151,152,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0
49,153,154,How do I prevent breast cancer?,Is breast cancer preventable?,0
50,155,156,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
51,157,158,How can I make money through the Internet?,"What are some different ways to make money online, excluding selling things?",0
